Fecha,Gmuscular,Volumen
19/06/2024,Espalda,26.20
24/06/2024,Espalda,11.40
27/06/2024,Espalda,35.70
03/07/2024,Espalda,20.30
20/12/2023,Gluteo,9.98
20/01/2024,Gluteo,17.10
26/01/2024,Gluteo,16.50
09/02/2024,Gluteo,17.40
16/02/2024,Gluteo,21.40
23/02/2024,Gluteo,23.70
14/03/2024,Gluteo,22.00
21/03/2024,Gluteo,17.60
24/03/2024,Gluteo,13.00
01/04/2024,Gluteo,18.50
12/04/2024,Gluteo,15.90
20/04/2024,Gluteo,21.30
29/04/2024,Gluteo,21.50
07/05/2024,Gluteo,23.70
16/05/2024,Gluteo,25.80
23/05/2024,Gluteo,30.90
25/05/2024,Gluteo,1.50
30/05/2024,Gluteo,31.10
22/06/2024,Gluteo,2.15
01/07/2024,Gluteo,26.90
18/01/2024,Hombros,4.00
16/02/2024,Hombros,3.98
23/02/2024,Hombros,4.26
14/03/2024,Hombros,2.65
21/03/2024,Hombros,2.81
04/04/2024,Hombros,3.59
11/04/2024,Hombros,3.99
15/04/2024,Hombros,3.13
24/04/2024,Hombros,3.16
27/04/2024,Hombros,3.07
29/04/2024,Hombros,3.77
09/10/2024,Hombros,2.97
13/05/2024,Hombros,4.03
23/05/2024,Hombros,3.43
29/05/2024,Hombros,4.15
07/06/2024,Hombros,2.82
22/06/2024,Hombros,1.76
